verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
55,hi,148,152,59,37,0.9736842105263158,2.5084745762711864,4.0
55,en,139,38,38,29,3.6578947368421053,3.6578947368421053,4.793103448275862
56,sa,75,76,36,15,0.9868421052631579,2.0833333333333335,5.0
56,sa_latn,89,58,43,17,1.5344827586206897,2.0697674418604652,5.235294117647059
56,hi,118,115,42,23,1.0260869565217392,2.8095238095238093,5.130434782608695
56,en,140,33,33,27,4.242424242424242,4.242424242424242,5.185185185185185
57,sa,103,113,53,22,0.911504424778761,1.9433962264150944,4.681818181818182
57,sa_latn,119,83,62,24,1.4337349397590362,1.9193548387096775,4.958333333333333
57,hi,168,163,56,41,1.030674846625767,3.0,4.097560975609756
57,en,168,36,36,36,4.666666666666667,4.666666666666667,4.666666666666667
58,sa,85,82,40,25,1.0365853658536586,2.125,3.4
58,sa_latn,93,59,38,17,1.576271186440678,2.4473684210526314,5.470588235294118
58,hi,128,128,36,34,1.0,3.5555555555555554,3.764705882352941
58,en,121,31,31,31,3.903225806451613,3.903225806451613,3.903225806451613
59,sa,89,87,43,18,1.0229885057471264,2.0697674418604652,4.944444444444445
59,sa_latn,93,46,40,18,2.0217391304347827,2.325,5.166666666666667
59,hi,207,207,62,40,1.0,3.338709677419355,5.175
59,en,183,39,39,38,4.6923076923076925,4.6923076923076925,4.815789473684211
60,sa,93,94,44,18,0.9893617021276596,2.1136363636363638,5.166666666666667
60,sa_latn,97,66,49,21,1.4696969696969697,1.9795918367346939,4.619047619047619
60,hi,233,228,78,55,1.0219298245614035,2.9871794871794872,4.236363636363636
60,en,288,60,58,56,4.8,4.9655172413793105,5.142857142857143
61,sa,82,83,40,20,0.9879518072289156,2.05,4.1
61,sa_latn,96,64,44,19,1.5,2.1818181818181817,5.052631578947368
61,hi,149,141,40,32,1.0567375886524824,3.725,4.65625
61,en,149,31,31,29,4.806451612903226,4.806451612903226,5.137931034482759
62,sa,89,91,41,20,0.978021978021978,2.1707317073170733,4.45
62,sa_latn,93,58,42,17,1.603448275862069,2.2142857142857144,5.470588235294118
62,hi,207,205,63,42,1.0097560975609756,3.2857142857142856,4.928571428571429
62,en,187,40,40,38,4.675,4.675,4.921052631578948
63,sa,86,86,46,16,1.0,1.8695652173913044,5.375
63,sa_latn,91,43,35,16,2.116279069767442,2.6,5.6875
63,hi,108,107,33,26,1.0093457943925233,3.272727272727273,4.153846153846154
63,en,125,29,29,24,4.310344827586207,4.310344827586207,5.208333333333333
64,sa,88,87,40,19,1.0114942528735633,2.2,4.631578947368421
64,sa_latn,87,51,40,14,1.7058823529411764,2.175,6.214285714285714
64,hi,112,118,42,25,0.9491525423728814,2.6666666666666665,4.48
64,en,150,35,34,28,4.285714285714286,4.411764705882353,5.357142857142857
65,sa,87,84,45,22,1.0357142857142858,1.9333333333333333,3.9545454545454546
