verse_id,lang,segment_type,chars,gpt_tokens,o200k_tokens,gemini_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_gemini_tok,chars_per_spm_tok
37,en,en_trans,254,60,59,54,50,4.233333333333333,4.305084745762712,4.703703703703703,5.08
37,en,en_mean,2092,535,511,501,558,3.9102803738317755,4.0939334637964775,4.175648702594811,3.74910394265233
37,hi,hi_trans,280,277,91,76,59,1.0108303249097472,3.076923076923077,3.6842105263157894,4.745762711864407
37,hi,hi_mean,1862,1860,652,527,508,1.0010752688172042,2.855828220858896,3.5332068311195446,3.6653543307086616
38,sa,sa_verse,170,167,91,81,26,1.0179640718562875,1.8681318681318682,2.0987654320987654,6.538461538461538
38,en,en_trans,254,60,59,54,50,4.233333333333333,4.305084745762712,4.703703703703703,5.08
38,en,en_mean,2092,535,511,501,558,3.9102803738317755,4.0939334637964775,4.175648702594811,3.74910394265233
38,hi,hi_trans,280,277,91,76,59,1.0108303249097472,3.076923076923077,3.6842105263157894,4.745762711864407
38,hi,hi_mean,1862,1860,652,527,508,1.0010752688172042,2.855828220858896,3.5332068311195446,3.6653543307086616
39,sa,sa_verse,88,88,44,38,18,1.0,2.0,2.3157894736842106,4.888888888888889
39,en,en_trans,118,26,26,24,22,4.538461538461538,4.538461538461538,4.916666666666667,5.363636363636363
39,en,en_mean,491,97,97,95,126,5.061855670103093,5.061855670103093,5.168421052631579,3.8968253968253967
39,hi,hi_trans,121,117,38,34,28,1.0341880341880343,3.1842105263157894,3.5588235294117645,4.321428571428571
39,hi,hi_mean,724,711,231,184,182,1.018284106891702,3.134199134199134,3.9347826086956523,3.978021978021978
40,sa,sa_verse,97,97,44,38,19,1.0,2.2045454545454546,2.5526315789473686,5.105263157894737
40,en,en_trans,168,42,41,38,34,4.0,4.097560975609756,4.421052631578948,4.9411764705882355
40,en,en_mean,883,204,196,187,226,4.328431372549019,4.505102040816326,4.721925133689839,3.9070796460176993
40,hi,hi_trans,149,143,55,44,30,1.0419580419580419,2.709090909090909,3.3863636363636362,4.966666666666667
40,hi,hi_mean,589,566,193,158,151,1.040636042402827,3.051813471502591,3.7278481012658227,3.9006622516556293
41,sa,sa_verse,85,80,43,39,16,1.0625,1.9767441860465116,2.1794871794871793,5.3125
41,en,en_trans,199,39,39,37,35,5.102564102564102,5.102564102564102,5.378378378378378,5.685714285714286
41,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
41,hi,hi_trans,229,218,76,62,46,1.0504587155963303,3.013157894736842,3.693548387096774,4.978260869565218
41,hi,hi_mean,13,2,2,2,4,6.5,6.5,6.5,3.25
42,sa,sa_verse,90,92,47,42,20,0.9782608695652174,1.9148936170212767,2.142857142857143,4.5
42,en,en_trans,166,31,31,30,30,5.354838709677419,5.354838709677419,5.533333333333333,5.533333333333333
42,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
42,hi,hi_trans,197,185,59,48,37,1.0648648648648649,3.3389830508474576,4.104166666666667,5.324324324324325
42,hi,hi_mean,432,429,143,106,106,1.006993006993007,3.020979020979021,4.0754716981132075,4.0754716981132075
43,sa,sa_verse,79,78,42,37,14,1.0128205128205128,1.880952380952381,2.135135135135135,5.642857142857143
43,en,en_trans,140,31,29,28,27,4.516129032258065,4.827586206896552,5.0,5.185185185185185
43,en,en_mean,13,2,2,2,3,6.5,6.5,6.5,4.333333333333333
43,hi,hi_trans,127,121,42,36,29,1.0495867768595042,3.0238095238095237,3.5277777777777777,4.379310344827586
43,hi,hi_mean,13,2,2,2,4,6.5,6.5,6.5,3.25
44,sa,sa_verse,173,167,85,79,26,1.035928143712575,2.0352941176470587,2.189873417721519,6.653846153846154
44,en,en_trans,313,72,72,70,62,4.347222222222222,4.347222222222222,4.4714285714285715,5.048387096774194
44,en,en_mean,1092,226,225,217,259,4.831858407079646,4.8533333333333335,5.032258064516129,4.216216216216216
44,hi,hi_trans,291,282,99,79,63,1.0319148936170213,2.9393939393939394,3.6835443037974684,4.619047619047619
44,hi,hi_mean,1160,1135,362,296,284,1.0220264317180616,3.2044198895027622,3.918918918918919,4.084507042253521
45,sa,sa_verse,173,167,85,79,26,1.035928143712575,2.0352941176470587,2.189873417721519,6.653846153846154
45,en,en_trans,313,72,72,70,62,4.347222222222222,4.347222222222222,4.4714285714285715,5.048387096774194
45,en,en_mean,1092,226,225,217,259,4.831858407079646,4.8533333333333335,5.032258064516129,4.216216216216216
45,hi,hi_trans,291,282,99,79,63,1.0319148936170213,2.9393939393939394,3.6835443037974684,4.619047619047619
45,hi,hi_mean,1160,1135,362,296,284,1.0220264317180616,3.2044198895027622,3.918918918918919,4.084507042253521
46,sa,sa_verse,96,100,54,45,20,0.96,1.7777777777777777,2.1333333333333333,4.8
46,en,en_trans,152,35,36,33,32,4.3428571428571425,4.222222222222222,4.606060606060606,4.75
46,en,en_mean,1573,333,331,312,381,4.723723723723723,4.75226586102719,5.041666666666667,4.1286089238845145
46,hi,hi_trans,155,157,54,49,41,0.9872611464968153,2.8703703703703702,3.163265306122449,3.7804878048780486
46,hi,hi_mean,1248,1219,378,312,306,1.0237899917965545,3.3015873015873014,4.0,4.078431372549019
47,sa,sa_verse,91,98,45,41,21,0.9285714285714286,2.022222222222222,2.2195121951219514,4.333333333333333
47,en,en_trans,142,32,33,30,29,4.4375,4.303030303030303,4.733333333333333,4.896551724137931
47,en,en_mean,1130,243,240,233,256,4.650205761316872,4.708333333333333,4.849785407725322,4.4140625
47,hi,hi_trans,125,126,50,37,27,0.9920634920634921,2.5,3.3783783783783785,4.62962962962963
47,hi,hi_mean,1145,1129,360,284,282,1.0141718334809566,3.1805555555555554,4.03169014084507,4.060283687943262
48,sa,sa_verse,96,97,46,43,19,0.9896907216494846,2.0869565217391304,2.2325581395348837,5.052631578947368
48,en,en_trans,186,45,44,43,41,4.133333333333334,4.2272727272727275,4.325581395348837,4.536585365853658
48,en,en_mean,1617,340,334,318,413,4.7558823529411764,4.841317365269461,5.084905660377358,3.9152542372881354
48,hi,hi_trans,210,206,63,51,42,1.0194174757281553,3.3333333333333335,4.117647058823529,5.0
48,hi,hi_mean,1704,1668,519,427,424,1.0215827338129497,3.2832369942196533,3.990632318501171,4.018867924528302
49,sa,sa_verse,100,101,48,44,20,0.9900990099009901,2.0833333333333335,2.272727272727273,5.0
49,en,en_trans,132,35,35,33,29,3.7714285714285714,3.7714285714285714,4.0,4.551724137931035
49,en,en_mean,1365,302,296,279,345,4.5198675496688745,4.611486486486487,4.89247311827957,3.9565217391304346
49,hi,hi_trans,160,157,58,41,36,1.019108280254777,2.7586206896551726,3.902439024390244,4.444444444444445
49,hi,hi_mean,1385,1344,425,336,339,1.0305059523809523,3.2588235294117647,4.122023809523809,4.0855457227138645
50,sa,sa_verse,97,102,51,46,20,0.9509803921568627,1.9019607843137254,2.108695652173913,4.85
50,en,en_trans,150,42,42,40,32,3.5714285714285716,3.5714285714285716,3.75,4.6875
50,en,en_mean,959,219,220,209,217,4.378995433789954,4.359090909090909,4.588516746411483,4.419354838709677
50,hi,hi_trans,156,160,56,50,33,0.975,2.7857142857142856,3.12,4.7272727272727275
50,hi,hi_mean,976,959,308,242,221,1.0177267987486966,3.168831168831169,4.033057851239669,4.416289592760181
51,sa,sa_verse,123,128,62,53,25,0.9609375,1.9838709677419355,2.3207547169811322,4.92
51,en,en_trans,202,44,45,44,44,4.590909090909091,4.488888888888889,4.590909090909091,4.590909090909091
51,en,en_mean,1468,314,308,300,399,4.67515923566879,4.766233766233766,4.8933333333333335,3.6791979949874687
51,hi,hi_trans,254,255,77,64,49,0.996078431372549,3.2987012987012987,3.96875,5.183673469387755
51,hi,hi_mean,1597,1564,512,441,470,1.0210997442455243,3.119140625,3.621315192743764,3.3978723404255318
52,sa,sa_verse,122,125,60,56,30,0.976,2.033333333333333,2.1785714285714284,4.066666666666666
52,en,en_trans,264,61,61,61,55,4.327868852459017,4.327868852459017,4.327868852459017,4.8
52,en,en_mean,5083,1388,1318,1285,1419,3.6621037463976944,3.8566009104704095,3.9556420233463037,3.5821000704721633
52,hi,hi_trans,264,259,75,65,55,1.0193050193050193,3.52,4.061538461538461,4.8
